Faixa Etaria;Masculino;Feminino;Total
Menor 1 ano;7378;7072;14450
1 a 4 anos;32004;30677;62681
5 a 9 anos;43171;40990;84161
10 a 14 anos;46616;45319;91935
15 a 19 anos;39371;39572;78943
20 a 29 anos;72751;73367;146118
30 a 39 anos;57642;58821;116463
40 a 49 anos;38718;38931;77649
50 a 59 anos;25398;25781;51179
60 a 69 anos;14588;14784;29372
70 a 79 anos;7315;7284;14599
80 anos e mais;3560;3574;7134
Total;388512;386172;774684