Faixa Etaria;Masculino;Feminino;Total
Menor 1 ano;24237;23167;47404
1 a 4 anos;95466;93014;188480
5 a 9 anos;132139;126928;259067
10 a 14 anos;151380;146728;298108
15 a 19 anos;147781;146561;294342
20 a 29 anos;332155;329524;661679
30 a 39 anos;281519;291313;572832
40 a 49 anos;240198;253191;493389
50 a 59 anos;191742;205114;396856
60 a 69 anos;99599;112735;212334
70 a 79 anos;53544;67989;121533
80 anos e mais;23072;35012;58084
Total;1772832;1831276;3604108