Faixa Etaria;Masculino;Feminino;Total
Menor 1 ano;43071;41655;84726
1 a 4 anos;174103;168212;342315
5 a 9 anos;239097;228423;467520
10 a 14 anos;272472;263427;535899
15 a 19 anos;268990;264981;533971
20 a 29 anos;573481;567032;1140513
30 a 39 anos;517331;531971;1049302
40 a 49 anos;420067;439648;859715
50 a 59 anos;287637;309847;597484
60 a 69 anos;169504;180646;350150
70 a 79 anos;88829;98862;187691
80 anos e mais;33490;41017;74507
Total;3088072;3135721;6223793