Faixa Etaria;Masculino;Feminino;Total
Menor 1 ano;119813;116453;236266
1 a 4 anos;496717;478594;975311
5 a 9 anos;699242;676992;1376234
10 a 14 anos;844880;816725;1661605
15 a 19 anos;849085;833390;1682475
20 a 29 anos;1753130;1737015;3490145
30 a 39 anos;1509525;1549626;3059151
40 a 49 anos;1350882;1426297;2777179
50 a 59 anos;1068380;1150830;2219210
60 a 69 anos;626167;704793;1330960
70 a 79 anos;344542;431872;776414
80 anos e mais;139672;222814;362486
Total;9802035;10145401;19947436