Faixa Etaria;Masculino;Feminino;Total
Menor 1 ano;19456;19189;38645
1 a 4 anos;76500;73487;149987
5 a 9 anos;99171;94553;193724
10 a 14 anos;112957;109214;222171
15 a 19 anos;114371;112235;226606
20 a 29 anos;226711;224111;450822
30 a 39 anos;194905;199300;394205
40 a 49 anos;167967;175477;343444
50 a 59 anos;122057;128660;250717
60 a 69 anos;70434;74844;145278
70 a 79 anos;38702;41296;79998
80 anos e mais;15319;18979;34298
Total;1258550;1271345;2529895