Faixa Etaria;Masculino;Feminino;Total
Menor 1 ano;71014;68726;139740
1 a 4 anos;299037;287234;586271
5 a 9 anos;397838;384091;781929
10 a 14 anos;432600;416731;849331
15 a 19 anos;400522;393851;794373
20 a 29 anos;764530;766524;1531054
30 a 39 anos;609471;601659;1211130
40 a 49 anos;429659;415693;845352
50 a 59 anos;289443;285339;574782
60 a 69 anos;166998;165908;332906
70 a 79 anos;83221;88588;171809
80 anos e mais;31982;41787;73769
Total;3976315;3916131;7892446