Faixa Etaria;Masculino;Feminino;Total
Menor 1 ano;22768;21790;44558
1 a 4 anos;97907;93987;191894
5 a 9 anos;135502;129881;265383
10 a 14 anos;153681;147141;300822
15 a 19 anos;146973;145317;292290
20 a 29 anos;292802;301348;594150
30 a 39 anos;229236;242568;471804
40 a 49 anos;181008;196625;377633
50 a 59 anos;131599;150587;282186
60 a 69 anos;88230;98045;186275
70 a 79 anos;50188;60710;110898
80 anos e mais;24234;31669;55903
Total;1554128;1619668;3173796