Faixa Etaria;Masculino;Feminino;Total
Menor 1 ano;15721;15342;31063
1 a 4 anos;67399;64738;132137
5 a 9 anos;89247;86156;175403
10 a 14 anos;105961;102086;208047
15 a 19 anos;100448;100140;200588
20 a 29 anos;197173;205913;403086
30 a 39 anos;158839;174328;333167
40 a 49 anos;127978;141145;269123
50 a 59 anos;82487;95122;177609
60 a 69 anos;51372;59439;110811
70 a 79 anos;24642;33459;58101
80 anos e mais;11544;18345;29889
Total;1032811;1096213;2129024