Faixa Etaria;Masculino;Feminino;Total
Menor 1 ano;11740;11367;23107
1 a 4 anos;48812;47856;96668
5 a 9 anos;66374;63292;129666
10 a 14 anos;74136;70604;144740
15 a 19 anos;70839;68729;139568
20 a 29 anos;133794;133380;267174
30 a 39 anos;110927;110935;221862
40 a 49 anos;84845;82841;167686
50 a 59 anos;58211;56148;114359
60 a 69 anos;36556;33398;69954
70 a 79 anos;20798;19109;39907
80 anos e mais;8890;8532;17422
Total;725922;706191;1432113