Faixa Etaria;Masculino;Feminino;Total
Menor 1 ano;36915;35842;72757
1 a 4 anos;149723;144881;294604
5 a 9 anos;197621;189493;387114
10 a 14 anos;209656;203006;412662
15 a 19 anos;185404;184475;369879
20 a 29 anos;346409;345838;692247
30 a 39 anos;277285;278247;555532
40 a 49 anos;192354;184291;376645
50 a 59 anos;123961;122072;246033
60 a 69 anos;65287;66018;131305
70 a 79 anos;31637;34622;66259
80 anos e mais;13261;17373;30634
Total;1829513;1806158;3635671