Faixa Etaria;Masculino;Feminino;Total
Menor 1 ano;7092;7061;14153
1 a 4 anos;28666;27304;55970
5 a 9 anos;38190;36662;74852
10 a 14 anos;42249;41530;83779
15 a 19 anos;38338;38316;76654
20 a 29 anos;70072;72039;142111
30 a 39 anos;54884;57138;112022
40 a 49 anos;37211;36383;73594
50 a 59 anos;22877;22038;44915
60 a 69 anos;11205;11056;22261
70 a 79 anos;5389;5844;11233
80 anos e mais;1977;2782;4759
Total;358150;358153;716303