Faixa Etaria;Masculino;Feminino;Total
Menor 1 ano;98599;95636;194235
1 a 4 anos;414014;400885;814899
5 a 9 anos;587229;565114;1152343
10 a 14 anos;664511;640085;1304596
15 a 19 anos;641337;633355;1274692
20 a 29 anos;1310092;1348790;2658882
30 a 39 anos;1089501;1141377;2230878
40 a 49 anos;859352;911662;1771014
50 a 59 anos;606090;667721;1273811
60 a 69 anos;385588;435131;820719
70 a 79 anos;205251;261103;466354
80 anos e mais;100299;146684;246983
Total;6961863;7247543;14209406