Faixa Etaria;Masculino;Feminino;Total
Menor 1 ano;18590;18277;36867
1 a 4 anos;75623;73326;148949
5 a 9 anos;102521;99262;201783
10 a 14 anos;113395;110350;223745
15 a 19 anos;108531;110305;218836
20 a 29 anos;255814;273047;528861
30 a 39 anos;232023;261901;493924
40 a 49 anos;174996;198062;373058
50 a 59 anos;108592;132670;241262
60 a 69 anos;57034;73780;130814
70 a 79 anos;27970;36541;64511
80 anos e mais;9667;16478;26145
Total;1284756;1403999;2688755