Faixa Etaria;Masculino;Feminino;Total
Menor 1 ano;28558;27229;55787
1 a 4 anos;114129;110055;224184
5 a 9 anos;155867;149249;305116
10 a 14 anos;172820;166769;339589
15 a 19 anos;173468;171240;344708
20 a 29 anos;340668;349775;690443
30 a 39 anos;279078;297711;576789
40 a 49 anos;232940;254622;487562
50 a 59 anos;153925;180672;334597
60 a 69 anos;108728;134229;242957
70 a 79 anos;60950;84440;145390
80 anos e mais;34156;50685;84841
Total;1855287;1976676;3831963