Faixa Etaria;Masculino;Feminino;Total
Menor 1 ano;70606;68124;138730
1 a 4 anos;275141;266437;541578
5 a 9 anos;374719;362318;737037
10 a 14 anos;459190;440555;899745
15 a 19 anos;465450;454538;919988
20 a 29 anos;897051;899854;1796905
30 a 39 anos;803433;835970;1639403
40 a 49 anos;741335;794174;1535509
50 a 59 anos;549647;610991;1160638
60 a 69 anos;333511;376980;710491
70 a 79 anos;174750;209627;384377
80 anos e mais;64790;96343;161133
Total;5209623;5415911;10625534